year;SSP1-1.9;SSP1-2.6;SSP2-4.5;SSP3-3.4;SSP3-7.0;SSP4-3.4;SSP4-6.0;SSP5-8.5
1750;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298
1751;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286
1752;0.261;0.261;0.261;0.261;0.261;0.261;0.261;0.261
1753;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224
1754;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184
1755;0.14;0.14;0.14;0.14;0.14;0.14;0.14;0.14
1756;-0.114;-0.114;-0.114;-0.114;-0.114;-0.114;-0.114;-0.114
1757;0.042;0.042;0.042;0.042;0.042;0.042;0.042;0.042
1758;0.186;0.186;0.186;0.186;0.186;0.186;0.186;0.186
1759;0.268;0.268;0.268;0.268;0.268;0.268;0.268;0.268
1760;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
1761;0.303;0.303;0.303;0.303;0.303;0.303;0.303;0.303
1762;-0.719;-0.719;-0.719;-0.719;-0.719;-0.719;-0.719;-0.719
1763;-0.439;-0.439;-0.439;-0.439;-0.439;-0.439;-0.439;-0.439
1764;-0.017;-0.017;-0.017;-0.017;-0.017;-0.017;-0.017;-0.017
1765;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.106
1766;-0.219;-0.219;-0.219;-0.219;-0.219;-0.219;-0.219;-0.219
1767;-0.262;-0.262;-0.262;-0.262;-0.262;-0.262;-0.262;-0.262
1768;0.072;0.072;0.072;0.072;0.072;0.072;0.072;0.072
1769;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26
1770;0.187;0.187;0.187;0.187;0.187;0.187;0.187;0.187
1771;0.249;0.249;0.249;0.249;0.249;0.249;0.249;0.249
1772;0.301;0.301;0.301;0.301;0.301;0.301;0.301;0.301
1773;0.291;0.291;0.291;0.291;0.291;0.291;0.291;0.291
1774;0.248;0.248;0.248;0.248;0.248;0.248;0.248;0.248
1775;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224
1776;0.209;0.209;0.209;0.209;0.209;0.209;0.209;0.209
1777;0.211;0.211;0.211;0.211;0.211;0.211;0.211;0.211
1778;0.253;0.253;0.253;0.253;0.253;0.253;0.253;0.253
1779;0.332;0.332;0.332;0.332;0.332;0.332;0.332;0.332
1780;0.369;0.369;0.369;0.369;0.369;0.369;0.369;0.369
1781;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.375
1782;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354
1783;-1.671;-1.671;-1.671;-1.671;-1.671;-1.671;-1.671;-1.671
1784;-3.793;-3.793;-3.793;-3.793;-3.793;-3.793;-3.793;-3.793
1785;-1.433;-1.433;-1.433;-1.433;-1.433;-1.433;-1.433;-1.433
1786;-0.517;-0.517;-0.517;-0.517;-0.517;-0.517;-0.517;-0.517
1787;-0.071;-0.071;-0.071;-0.071;-0.071;-0.071;-0.071;-0.071
1788;0.193;0.193;0.193;0.193;0.193;0.193;0.193;0.193
1789;0.353;0.353;0.353;0.353;0.353;0.353;0.353;0.353
1790;0.406;0.406;0.406;0.406;0.406;0.406;0.406;0.406
1791;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41
1792;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
1793;0.371;0.371;0.371;0.371;0.371;0.371;0.371;0.371
1794;0.324;0.324;0.324;0.324;0.324;0.324;0.324;0.324
1795;0.295;0.295;0.295;0.295;0.295;0.295;0.295;0.295
1796;0.122;0.122;0.122;0.122;0.122;0.122;0.122;0.122
1797;-0.015;-0.015;-0.015;-0.015;-0.015;-0.015;-0.015;-0.015
1798;0.082;0.082;0.082;0.082;0.082;0.082;0.082;0.082
1799;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18
1800;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229
1801;0.277;0.277;0.277;0.277;0.277;0.277;0.277;0.277
1802;0.309;0.309;0.309;0.309;0.309;0.309;0.309;0.309
1803;0.334;0.334;0.334;0.334;0.334;0.334;0.334;0.334
1804;0.343;0.343;0.343;0.343;0.343;0.343;0.343;0.343
1805;0.328;0.328;0.328;0.328;0.328;0.328;0.328;0.328
1806;0.319;0.319;0.319;0.319;0.319;0.319;0.319;0.319
1807;0.297;0.297;0.297;0.297;0.297;0.297;0.297;0.297
1808;0.267;0.267;0.267;0.267;0.267;0.267;0.267;0.267
1809;-3.692;-3.692;-3.692;-3.692;-3.692;-3.692;-3.692;-3.692
1810;-2.536;-2.536;-2.536;-2.536;-2.536;-2.536;-2.536;-2.536
1811;-0.753;-0.753;-0.753;-0.753;-0.753;-0.753;-0.753;-0.753
1812;-0.081;-0.081;-0.081;-0.081;-0.081;-0.081;-0.081;-0.081
1813;0.158;0.158;0.158;0.158;0.158;0.158;0.158;0.158
1814;0.244;0.244;0.244;0.244;0.244;0.244;0.244;0.244
1815;-3.612;-3.612;-3.612;-3.612;-3.612;-3.612;-3.612;-3.612
1816;-4.694;-4.694;-4.694;-4.694;-4.694;-4.694;-4.694;-4.694
1817;-1.57;-1.57;-1.57;-1.57;-1.57;-1.57;-1.57;-1.57
1818;-0.333;-0.333;-0.333;-0.333;-0.333;-0.333;-0.333;-0.333
1819;0.087;0.087;0.087;0.087;0.087;0.087;0.087;0.087
1820;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21
1821;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131
1822;0.127;0.127;0.127;0.127;0.127;0.127;0.127;0.127
1823;-0.241;-0.241;-0.241;-0.241;-0.241;-0.241;-0.241;-0.241
1824;0.042;0.042;0.042;0.042;0.042;0.042;0.042;0.042
1825;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222
1826;0.317;0.317;0.317;0.317;0.317;0.317;0.317;0.317
1827;0.358;0.358;0.358;0.358;0.358;0.358;0.358;0.358
1828;0.361;0.361;0.361;0.361;0.361;0.361;0.361;0.361
1829;0.361;0.361;0.361;0.361;0.361;0.361;0.361;0.361
1830;0.339;0.339;0.339;0.339;0.339;0.339;0.339;0.339
1831;-2.377;-2.377;-2.377;-2.377;-2.377;-2.377;-2.377;-2.377
1832;-1.569;-1.569;-1.569;-1.569;-1.569;-1.569;-1.569;-1.569
1833;-0.387;-0.387;-0.387;-0.387;-0.387;-0.387;-0.387;-0.387
1834;0.051;0.051;0.051;0.051;0.051;0.051;0.051;0.051
1835;-1.735;-1.735;-1.735;-1.735;-1.735;-1.735;-1.735;-1.735
1836;-1.015;-1.015;-1.015;-1.015;-1.015;-1.015;-1.015;-1.015
1837;-0.078;-0.078;-0.078;-0.078;-0.078;-0.078;-0.078;-0.078
1838;0.261;0.261;0.261;0.261;0.261;0.261;0.261;0.261
1839;0.363;0.363;0.363;0.363;0.363;0.363;0.363;0.363
1840;0.377;0.377;0.377;0.377;0.377;0.377;0.377;0.377
1841;0.356;0.356;0.356;0.356;0.356;0.356;0.356;0.356
1842;0.328;0.328;0.328;0.328;0.328;0.328;0.328;0.328
1843;0.307;0.307;0.307;0.307;0.307;0.307;0.307;0.307
1844;0.292;0.292;0.292;0.292;0.292;0.292;0.292;0.292
1845;0.282;0.282;0.282;0.282;0.282;0.282;0.282;0.282
1846;0.098;0.098;0.098;0.098;0.098;0.098;0.098;0.098
1847;0.167;0.167;0.167;0.167;0.167;0.167;0.167;0.167
1848;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26
1849;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31
1850;0.331;0.331;0.331;0.331;0.331;0.331;0.331;0.331
1851;0.341;0.341;0.341;0.341;0.341;0.341;0.341;0.341
1852;0.341;0.341;0.341;0.341;0.341;0.341;0.341;0.341
1853;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15
1854;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09
1855;0.233;0.233;0.233;0.233;0.233;0.233;0.233;0.233
1856;0.242;0.242;0.242;0.242;0.242;0.242;0.242;0.242
1857;0.061;0.061;0.061;0.061;0.061;0.061;0.061;0.061
1858;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224
1859;0.316;0.316;0.316;0.316;0.316;0.316;0.316;0.316
1860;0.353;0.353;0.353;0.353;0.353;0.353;0.353;0.353
1861;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278
1862;-0.538;-0.538;-0.538;-0.538;-0.538;-0.538;-0.538;-0.538
1863;-0.13;-0.13;-0.13;-0.13;-0.13;-0.13;-0.13;-0.13
1864;0.196;0.196;0.196;0.196;0.196;0.196;0.196;0.196
1865;0.299;0.299;0.299;0.299;0.299;0.299;0.299;0.299
1866;0.341;0.341;0.341;0.341;0.341;0.341;0.341;0.341
1867;0.343;0.343;0.343;0.343;0.343;0.343;0.343;0.343
1868;0.351;0.351;0.351;0.351;0.351;0.351;0.351;0.351
1869;0.378;0.378;0.378;0.378;0.378;0.378;0.378;0.378
1870;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.375
1871;0.395;0.395;0.395;0.395;0.395;0.395;0.395;0.395
1872;0.387;0.387;0.387;0.387;0.387;0.387;0.387;0.387
1873;0.127;0.127;0.127;0.127;0.127;0.127;0.127;0.127
1874;0.269;0.269;0.269;0.269;0.269;0.269;0.269;0.269
1875;0.279;0.279;0.279;0.279;0.279;0.279;0.279;0.279
1876;0.282;0.282;0.282;0.282;0.282;0.282;0.282;0.282
1877;0.322;0.322;0.322;0.322;0.322;0.322;0.322;0.322
1878;0.335;0.335;0.335;0.335;0.335;0.335;0.335;0.335
1879;0.333;0.333;0.333;0.333;0.333;0.333;0.333;0.333
1880;0.295;0.295;0.295;0.295;0.295;0.295;0.295;0.295
1881;0.317;0.317;0.317;0.317;0.317;0.317;0.317;0.317
1882;0.367;0.367;0.367;0.367;0.367;0.367;0.367;0.367
1883;-0.343;-0.343;-0.343;-0.343;-0.343;-0.343;-0.343;-0.343
1884;-1.766;-1.766;-1.766;-1.766;-1.766;-1.766;-1.766;-1.766
1885;-0.495;-0.495;-0.495;-0.495;-0.495;-0.495;-0.495;-0.495
1886;0.058;0.058;0.058;0.058;0.058;0.058;0.058;0.058
1887;0.129;0.129;0.129;0.129;0.129;0.129;0.129;0.129
1888;0.283;0.283;0.283;0.283;0.283;0.283;0.283;0.283
1889;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.35
1890;0.163;0.163;0.163;0.163;0.163;0.163;0.163;0.163
1891;0.057;0.057;0.057;0.057;0.057;0.057;0.057;0.057
1892;0.287;0.287;0.287;0.287;0.287;0.287;0.287;0.287
1893;0.44;0.44;0.44;0.44;0.44;0.44;0.44;0.44
1894;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45
1895;0.435;0.435;0.435;0.435;0.435;0.435;0.435;0.435
1896;0.414;0.414;0.414;0.414;0.414;0.414;0.414;0.414
1897;0.387;0.387;0.387;0.387;0.387;0.387;0.387;0.387
1898;0.376;0.376;0.376;0.376;0.376;0.376;0.376;0.376
1899;0.347;0.347;0.347;0.347;0.347;0.347;0.347;0.347
1900;0.339;0.339;0.339;0.339;0.339;0.339;0.339;0.339
1901;0.332;0.332;0.332;0.332;0.332;0.332;0.332;0.332
1902;0.099;0.099;0.099;0.099;0.099;0.099;0.099;0.099
1903;-0.6;-0.6;-0.6;-0.6;-0.6;-0.6;-0.6;-0.6
1904;-0.122;-0.122;-0.122;-0.122;-0.122;-0.122;-0.122;-0.122
1905;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219
1906;0.341;0.341;0.341;0.341;0.341;0.341;0.341;0.341
1907;0.133;0.133;0.133;0.133;0.133;0.133;0.133;0.133
1908;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278
1909;0.326;0.326;0.326;0.326;0.326;0.326;0.326;0.326
1910;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298
1911;0.301;0.301;0.301;0.301;0.301;0.301;0.301;0.301
1912;-0.284;-0.284;-0.284;-0.284;-0.284;-0.284;-0.284;-0.284
1913;-0.2;-0.2;-0.2;-0.2;-0.2;-0.2;-0.2;-0.2
1914;0.154;0.154;0.154;0.154;0.154;0.154;0.154;0.154
1915;0.382;0.382;0.382;0.382;0.382;0.382;0.382;0.382
1916;0.422;0.422;0.422;0.422;0.422;0.422;0.422;0.422
1917;0.434;0.434;0.434;0.434;0.434;0.434;0.434;0.434
1918;0.449;0.449;0.449;0.449;0.449;0.449;0.449;0.449
1919;0.489;0.489;0.489;0.489;0.489;0.489;0.489;0.489
1920;0.43;0.43;0.43;0.43;0.43;0.43;0.43;0.43
1921;0.494;0.494;0.494;0.494;0.494;0.494;0.494;0.494
1922;0.341;0.341;0.341;0.341;0.341;0.341;0.341;0.341
1923;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36
1924;0.465;0.465;0.465;0.465;0.465;0.465;0.465;0.465
1925;0.489;0.489;0.489;0.489;0.489;0.489;0.489;0.489
1926;0.506;0.506;0.506;0.506;0.506;0.506;0.506;0.506
1927;0.507;0.507;0.507;0.507;0.507;0.507;0.507;0.507
1928;0.453;0.453;0.453;0.453;0.453;0.453;0.453;0.453
1929;0.225;0.225;0.225;0.225;0.225;0.225;0.225;0.225
1930;0.478;0.478;0.478;0.478;0.478;0.478;0.478;0.478
1931;0.535;0.535;0.535;0.535;0.535;0.535;0.535;0.535
1932;0.379;0.379;0.379;0.379;0.379;0.379;0.379;0.379
1933;0.511;0.511;0.511;0.511;0.511;0.511;0.511;0.511
1934;0.518;0.518;0.518;0.518;0.518;0.518;0.518;0.518
1935;0.528;0.528;0.528;0.528;0.528;0.528;0.528;0.528
1936;0.562;0.562;0.562;0.562;0.562;0.562;0.562;0.562
1937;0.554;0.554;0.554;0.554;0.554;0.554;0.554;0.554
1938;0.602;0.602;0.602;0.602;0.602;0.602;0.602;0.602
1939;0.57;0.57;0.57;0.57;0.57;0.57;0.57;0.57
1940;0.521;0.521;0.521;0.521;0.521;0.521;0.521;0.521
1941;0.502;0.502;0.502;0.502;0.502;0.502;0.502;0.502
1942;0.475;0.475;0.475;0.475;0.475;0.475;0.475;0.475
1943;0.465;0.465;0.465;0.465;0.465;0.465;0.465;0.465
1944;0.488;0.488;0.488;0.488;0.488;0.488;0.488;0.488
1945;0.604;0.604;0.604;0.604;0.604;0.604;0.604;0.604
1946;0.641;0.641;0.641;0.641;0.641;0.641;0.641;0.641
1947;0.641;0.641;0.641;0.641;0.641;0.641;0.641;0.641
1948;0.63;0.63;0.63;0.63;0.63;0.63;0.63;0.63
1949;0.665;0.665;0.665;0.665;0.665;0.665;0.665;0.665
1950;0.588;0.588;0.588;0.588;0.588;0.588;0.588;0.588
1951;0.552;0.552;0.552;0.552;0.552;0.552;0.552;0.552
1952;0.538;0.538;0.538;0.538;0.538;0.538;0.538;0.538
1953;0.52;0.52;0.52;0.52;0.52;0.52;0.52;0.52
1954;0.526;0.526;0.526;0.526;0.526;0.526;0.526;0.526
1955;0.521;0.521;0.521;0.521;0.521;0.521;0.521;0.521
1956;0.541;0.541;0.541;0.541;0.541;0.541;0.541;0.541
1957;0.575;0.575;0.575;0.575;0.575;0.575;0.575;0.575
1958;0.614;0.614;0.614;0.614;0.614;0.614;0.614;0.614
1959;0.576;0.576;0.576;0.576;0.576;0.576;0.576;0.576
1960;0.537;0.537;0.537;0.537;0.537;0.537;0.537;0.537
1961;0.464;0.464;0.464;0.464;0.464;0.464;0.464;0.464
1962;0.264;0.264;0.264;0.264;0.264;0.264;0.264;0.264
1963;-0.669;-0.669;-0.669;-0.669;-0.669;-0.669;-0.669;-0.669
1964;-0.396;-0.396;-0.396;-0.396;-0.396;-0.396;-0.396;-0.396
1965;-0.077;-0.077;-0.077;-0.077;-0.077;-0.077;-0.077;-0.077
1966;0.416;0.416;0.416;0.416;0.416;0.416;0.416;0.416
1967;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19
1968;0.332;0.332;0.332;0.332;0.332;0.332;0.332;0.332
1969;0.437;0.437;0.437;0.437;0.437;0.437;0.437;0.437
1970;0.419;0.419;0.419;0.419;0.419;0.419;0.419;0.419
1971;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285
1972;0.392;0.392;0.392;0.392;0.392;0.392;0.392;0.392
1973;0.548;0.548;0.548;0.548;0.548;0.548;0.548;0.548
1974;0.456;0.456;0.456;0.456;0.456;0.456;0.456;0.456
1975;0.264;0.264;0.264;0.264;0.264;0.264;0.264;0.264
1976;0.495;0.495;0.495;0.495;0.495;0.495;0.495;0.495
1977;0.663;0.663;0.663;0.663;0.663;0.663;0.663;0.663
1978;0.786;0.786;0.786;0.786;0.786;0.786;0.786;0.786
1979;0.844;0.844;0.844;0.844;0.844;0.844;0.844;0.844
1980;0.858;0.858;0.858;0.858;0.858;0.858;0.858;0.858
1981;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91
1982;0.53;0.53;0.53;0.53;0.53;0.53;0.53;0.53
1983;0.192;0.192;0.192;0.192;0.192;0.192;0.192;0.192
1984;0.632;0.632;0.632;0.632;0.632;0.632;0.632;0.632
1985;0.918;0.918;0.918;0.918;0.918;0.918;0.918;0.918
1986;0.972;0.972;0.972;0.972;0.972;0.972;0.972;0.972
1987;1.072;1.072;1.072;1.072;1.072;1.072;1.072;1.072
1988;1.242;1.242;1.242;1.242;1.242;1.242;1.242;1.242
1989;1.408;1.408;1.408;1.408;1.408;1.408;1.408;1.408
1990;1.416;1.416;1.416;1.416;1.416;1.416;1.416;1.416
1991;0.654;0.654;0.654;0.654;0.654;0.654;0.654;0.654
1992;-0.397;-0.397;-0.397;-0.397;-0.397;-0.397;-0.397;-0.397
1993;0.567;0.567;0.567;0.567;0.567;0.567;0.567;0.567
1994;1.228;1.228;1.228;1.228;1.228;1.228;1.228;1.228
1995;1.517;1.517;1.517;1.517;1.517;1.517;1.517;1.517
1996;1.642;1.642;1.642;1.642;1.642;1.642;1.642;1.642
1997;1.559;1.559;1.559;1.559;1.559;1.559;1.559;1.559
1998;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7
1999;1.934;1.934;1.934;1.934;1.934;1.934;1.934;1.934
2000;2.026;2.026;2.026;2.026;2.026;2.026;2.026;2.026
2001;2.042;2.042;2.042;2.042;2.042;2.042;2.042;2.042
2002;2.007;2.007;2.007;2.007;2.007;2.007;2.007;2.007
2003;1.935;1.935;1.935;1.935;1.935;1.935;1.935;1.935
2004;1.957;1.957;1.957;1.957;1.957;1.957;1.957;1.957
2005;1.904;1.904;1.904;1.904;1.904;1.904;1.904;1.904
2006;1.885;1.885;1.885;1.885;1.885;1.885;1.885;1.885
2007;1.942;1.942;1.942;1.942;1.942;1.942;1.942;1.942
2008;2.052;2.052;2.052;2.052;2.052;2.052;2.052;2.052
2009;2.128;2.128;2.128;2.128;2.128;2.128;2.128;2.128
2010;2.237;2.237;2.237;2.237;2.237;2.237;2.237;2.237
2011;2.29;2.29;2.29;2.29;2.29;2.29;2.29;2.29
2012;2.357;2.357;2.357;2.357;2.357;2.357;2.357;2.357
2013;2.526;2.526;2.526;2.526;2.526;2.526;2.526;2.526
2014;2.558;2.558;2.558;2.558;2.558;2.558;2.558;2.558
2015;2.621;2.621;2.621;2.635;2.621;2.621;2.621;2.621
2016;2.631;2.631;2.63;2.624;2.626;2.628;2.628;2.634
2017;2.661;2.66;2.661;2.618;2.644;2.653;2.653;2.675
2018;2.695;2.691;2.699;2.603;2.667;2.683;2.683;2.733
2019;2.746;2.737;2.758;2.592;2.712;2.737;2.737;2.824
2020;2.813;2.799;2.832;2.585;2.762;2.799;2.799;2.935
2021;2.897;2.876;2.903;2.666;2.842;2.882;2.875;3.021
2022;2.981;2.955;2.977;2.75;2.927;2.967;2.954;3.112
2023;3.043;3.014;3.032;2.815;2.995;3.031;3.016;3.187
2024;3.087;3.058;3.074;2.865;3.05;3.079;3.065;3.251
2025;3.111;3.083;3.098;2.897;3.088;3.108;3.098;3.299
2026;3.128;3.104;3.119;2.926;3.124;3.131;3.129;3.346
2027;3.141;3.123;3.139;2.953;3.161;3.151;3.16;3.394
2028;3.166;3.156;3.173;2.995;3.212;3.185;3.207;3.459
2029;3.181;3.181;3.201;3.029;3.258;3.21;3.247;3.519
2030;3.201;3.212;3.237;3.07;3.312;3.242;3.297;3.588
2031;3.195;3.237;3.282;3.114;3.366;3.271;3.348;3.649
2032;3.198;3.271;3.337;3.169;3.432;3.31;3.409;3.722
2033;3.219;3.322;3.411;3.244;3.518;3.368;3.49;3.817
2034;3.255;3.388;3.5;3.335;3.62;3.442;3.586;3.929
2035;3.256;3.419;3.555;3.393;3.688;3.481;3.648;4.01
2036;3.269;3.461;3.622;3.464;3.768;3.532;3.723;4.105
2037;3.246;3.467;3.654;3.501;3.815;3.549;3.763;4.167
2038;3.239;3.489;3.702;3.555;3.879;3.581;3.819;4.247
2039;3.207;3.485;3.726;3.586;3.919;3.59;3.852;4.305
2040;3.176;3.482;3.751;3.619;3.961;3.599;3.886;4.366
2041;3.143;3.472;3.78;3.611;4.005;3.611;3.923;4.433
2042;3.123;3.476;3.823;3.619;4.063;3.637;3.975;4.515
2043;3.112;3.488;3.874;3.634;4.13;3.671;4.034;4.607
2044;3.11;3.509;3.934;3.66;4.207;3.713;4.102;4.709
2045;3.132;3.552;4.017;3.71;4.307;3.779;4.194;4.836
2046;3.141;3.584;4.088;3.748;4.396;3.831;4.273;4.953
2047;3.153;3.617;4.161;3.789;4.488;3.886;4.354;5.073
2048;3.14;3.625;4.209;3.806;4.555;3.916;4.41;5.169
2049;3.102;3.608;4.232;3.797;4.598;3.92;4.44;5.242
2050;3.051;3.578;4.242;3.778;4.629;3.911;4.458;5.304
2051;3.017;3.564;4.264;3.767;4.68;3.914;4.495;5.377
2052;2.984;3.551;4.287;3.759;4.732;3.919;4.533;5.452
2053;2.956;3.542;4.314;3.755;4.788;3.927;4.574;5.532
2054;2.943;3.549;4.356;3.766;4.861;3.951;4.63;5.628
2055;2.948;3.571;4.413;3.795;4.95;3.991;4.703;5.74
2056;2.958;3.598;4.475;3.828;5.043;4.035;4.779;5.858
2057;2.943;3.599;4.512;3.836;5.112;4.054;4.83;5.952
2058;2.932;3.603;4.551;3.848;5.185;4.075;4.883;6.049
2059;2.919;3.606;4.588;3.858;5.257;4.096;4.935;6.146
2060;2.882;3.584;4.601;3.844;5.304;4.091;4.962;6.218
2061;2.851;3.562;4.615;3.83;5.355;4.085;4.993;6.296
2062;2.822;3.542;4.632;3.819;5.41;4.082;5.026;6.378
2063;2.803;3.533;4.658;3.817;5.474;4.088;5.068;6.47
2064;2.788;3.526;4.687;3.819;5.542;4.097;5.113;6.566
2065;2.781;3.527;4.723;3.83;5.619;4.114;5.166;6.67
2066;2.797;3.549;4.782;3.863;5.717;4.152;5.24;6.798
2067;2.809;3.568;4.837;3.892;5.813;4.187;5.31;6.922
2068;2.81;3.576;4.88;3.911;5.897;4.211;5.368;7.035
2069;2.791;3.562;4.902;3.909;5.962;4.214;5.406;7.129
2070;2.761;3.539;4.915;3.898;6.017;4.206;5.433;7.214
2071;2.727;3.508;4.921;3.875;6.065;4.191;5.455;7.297
2072;2.705;3.488;4.938;3.864;6.125;4.186;5.489;7.392
2073;2.685;3.47;4.957;3.855;6.188;4.183;5.524;7.489
2074;2.662;3.448;4.972;3.843;6.248;4.176;5.554;7.582
2075;2.645;3.432;4.993;3.838;6.314;4.175;5.591;7.682
2076;2.628;3.415;5.012;3.834;6.381;4.173;5.626;7.782
2077;2.622;3.409;5.043;3.84;6.459;4.181;5.672;7.892
2078;2.628;3.413;5.084;3.858;6.548;4.2;5.728;8.013
2079;2.634;3.418;5.125;3.877;6.64;4.219;5.784;8.136
2080;2.635;3.417;5.161;3.891;6.725;4.232;5.834;8.253
2081;2.623;3.403;5.183;3.889;6.798;4.235;5.87;8.355
2082;2.609;3.386;5.202;3.885;6.869;4.234;5.901;8.454
2083;2.581;3.356;5.207;3.867;6.927;4.219;5.919;8.538
2084;2.56;3.333;5.219;3.858;6.992;4.21;5.943;8.628
2085;2.524;3.296;5.216;3.833;7.043;4.185;5.952;8.701
2086;2.498;3.268;5.221;3.818;7.103;4.169;5.97;8.783
2087;2.483;3.251;5.237;3.814;7.174;4.163;5.997;8.874
2088;2.47;3.236;5.254;3.813;7.249;4.158;6.027;8.967
2089;2.472;3.236;5.285;3.827;7.338;4.168;6.071;9.074
2090;2.485;3.247;5.327;3.852;7.438;4.187;6.125;9.19
2091;2.491;3.253;5.357;3.867;7.533;4.197;6.168;9.297
2092;2.503;3.264;5.393;3.889;7.633;4.212;6.215;9.409
2093;2.477;3.238;5.391;3.873;7.697;4.188;6.225;9.483
2094;2.44;3.202;5.377;3.846;7.749;4.153;6.223;9.544
2095;2.407;3.17;5.367;3.823;7.805;4.121;6.225;9.609
2096;2.371;3.136;5.354;3.798;7.859;4.086;6.223;9.67
2097;2.349;3.115;5.354;3.786;7.927;4.063;6.234;9.744
2098;2.327;3.095;5.355;3.775;7.996;4.04;6.245;9.817
2099;2.321;3.092;5.37;3.78;8.08;4.033;6.272;9.905
2100;2.327;3.101;5.398;3.797;8.177;4.037;6.31;10.005
2101;2.333;3.111;5.425;;8.276;4.043;6.349;10.103
2102;2.311;3.094;5.425;;8.346;4.021;6.361;10.173
2103;2.291;3.078;5.425;;8.415;4.001;6.373;10.242
2104;2.261;3.053;5.415;;8.471;3.971;6.374;10.3
2105;2.222;3.018;5.396;;8.516;3.931;6.366;10.346
2106;2.192;2.992;5.386;;8.569;3.9;6.367;10.4
2107;2.165;2.969;5.377;;8.622;3.872;6.37;10.456
2108;2.148;2.955;5.378;;8.683;3.854;6.382;10.518
2109;2.138;2.949;5.387;;8.749;3.843;6.401;10.588
2110;2.142;2.958;5.409;;8.829;3.846;6.434;10.67
