year;SSP1-1.9;SSP1-2.6;SSP2-4.5;SSP3-3.4;SSP3-7.0;SSP4-3.4;SSP4-6.0;SSP5-8.5
2111;2.169;2.989;5.454;;8.929;3.872;6.49;10.773
2112;2.155;2.979;5.458;;8.987;3.856;6.504;10.834
2113;2.142;2.969;5.462;;9.045;3.842;6.519;10.895
2114;2.102;2.933;5.439;;9.074;3.8;6.507;10.927
2115;2.08;2.914;5.434;;9.12;3.776;6.512;10.976
2116;2.044;2.882;5.415;;9.15;3.738;6.503;11.01
2117;2.019;2.861;5.406;;9.19;3.711;6.504;11.053
2118;1.997;2.843;5.401;;9.233;3.687;6.509;11.099
2119;1.983;2.833;5.404;;9.282;3.671;6.521;11.151
2120;1.989;2.843;5.426;;9.35;3.675;6.553;11.222
2121;2.006;2.864;5.458;;9.427;3.689;6.595;11.303
2122;2.025;2.886;5.493;;9.506;3.706;6.64;11.384
2123;1.992;2.858;5.476;;9.533;3.671;6.632;11.414
2124;1.983;2.853;5.482;;9.581;3.659;6.648;11.465
2125;1.943;2.816;5.457;;9.598;3.616;6.632;11.485
2126;1.906;2.784;5.436;;9.618;3.577;6.62;11.507
2127;1.882;2.763;5.426;;9.649;3.55;6.62;11.54
2128;1.859;2.744;5.418;;9.68;3.524;6.621;11.575
2129;1.849;2.738;5.423;;9.724;3.511;6.635;11.62
2130;1.857;2.749;5.445;;9.784;3.515;6.665;11.682
2131;1.896;2.792;5.498;;9.875;3.551;6.727;11.775
2132;1.891;2.791;5.508;;9.921;3.543;6.746;11.824
2133;1.888;2.792;5.519;;9.969;3.537;6.766;11.873
2134;1.859;2.767;5.504;;9.989;3.504;6.759;11.895
2135;1.822;2.733;5.48;;10.001;3.463;6.744;11.907
2136;1.779;2.695;5.452;;10.006;3.417;6.724;11.914
2137;1.758;2.677;5.444;;10.033;3.392;6.725;11.942
2138;1.737;2.66;5.437;;10.058;3.367;6.726;11.969
2139;1.721;2.648;5.434;;10.089;3.347;6.731;11.999
2140;1.713;2.644;5.439;;10.126;3.335;6.744;12.037
2141;1.722;2.657;5.462;;10.18;3.34;6.775;12.092
2142;1.733;2.67;5.485;;10.234;3.346;6.806;12.146
2143;1.725;2.666;5.489;;10.269;3.334;6.818;12.181
2144;1.719;2.663;5.495;;10.305;3.324;6.832;12.217
2145;1.706;2.653;5.493;;10.333;3.307;6.837;12.245
2146;1.678;2.628;5.476;;10.345;3.275;6.828;12.256
2147;1.667;2.619;5.475;;10.373;3.26;6.835;12.284
2148;1.646;2.601;5.465;;10.39;3.235;6.831;12.3
2149;1.631;2.588;5.459;;10.412;3.216;6.833;12.322
2150;1.62;2.58;5.458;;10.438;3.201;6.839;12.346
2151;1.613;2.575;5.46;;10.466;3.191;6.848;12.374
2152;1.624;2.587;5.479;;10.512;3.198;6.875;12.418
2153;1.652;2.617;5.515;;10.574;3.222;6.918;12.479
2154;1.672;2.638;5.542;;10.627;3.238;6.953;12.531
2155;1.664;2.632;5.542;;10.652;3.227;6.959;12.554
2156;1.653;2.622;5.538;;10.672;3.213;6.962;12.573
2157;1.63;2.601;5.522;;10.681;3.187;6.953;12.579
2158;1.601;2.572;5.499;;10.682;3.155;6.937;12.578
2159;1.576;2.548;5.48;;10.687;3.127;6.925;12.581
2160;1.56;2.533;5.47;;10.7;3.109;6.922;12.592
2161;1.557;2.53;5.471;;10.725;3.103;6.931;12.615
2162;1.57;2.544;5.489;;10.766;3.113;6.956;12.653
2163;1.602;2.576;5.526;;10.825;3.142;6.999;12.71
2164;1.632;2.607;5.56;;10.882;3.171;7.04;12.764
2165;1.617;2.592;5.549;;10.893;3.153;7.036;12.773
2166;1.619;2.594;5.554;;10.919;3.153;7.047;12.797
2167;1.582;2.556;5.52;;10.907;3.113;7.02;12.781
2168;1.554;2.529;5.495;;10.903;3.084;7.002;12.775
2169;1.534;2.508;5.478;;10.906;3.062;6.991;12.776
2170;1.522;2.495;5.467;;10.917;3.048;6.988;12.783
2171;1.517;2.49;5.464;;10.934;3.041;6.991;12.798
2172;1.525;2.497;5.474;;10.963;3.047;7.007;12.824
2173;1.554;2.525;5.504;;11.013;3.075;7.044;12.871
2174;1.571;2.541;5.521;;11.049;3.09;7.067;12.904
2175;1.585;2.554;5.536;;11.083;3.102;7.089;12.935
2176;1.584;2.552;5.535;;11.102;3.1;7.094;12.951
2177;1.567;2.533;5.517;;11.102;3.082;7.083;12.948
2178;1.543;2.507;5.493;;11.096;3.056;7.065;12.939
2179;1.528;2.491;5.477;;11.099;3.04;7.056;12.938
2180;1.512;2.473;5.46;;11.099;3.023;7.045;12.935
2181;1.502;2.462;5.449;;11.106;3.013;7.04;12.939
2182;1.494;2.452;5.44;;11.113;3.004;7.037;12.943
2183;1.491;2.447;5.434;;11.125;3;7.038;12.951
2184;1.495;2.449;5.436;;11.144;3.004;7.046;12.967
2185;1.51;2.461;5.448;;11.172;3.018;7.064;12.992
2186;1.544;2.493;5.479;;11.219;3.051;7.101;13.035
2187;1.55;2.496;5.482;;11.238;3.057;7.11;13.051
2188;1.561;2.505;5.489;;11.261;3.067;7.123;13.07
2189;1.569;2.51;5.493;;11.281;3.075;7.133;13.086
2190;1.547;2.486;5.468;;11.27;3.053;7.113;13.072
2191;1.529;2.465;5.446;;11.263;3.035;7.097;13.061
2192;1.518;2.451;5.43;;11.262;3.024;7.087;13.057
2193;1.516;2.446;5.423;;11.27;3.021;7.086;13.06
2194;1.515;2.443;5.418;;11.279;3.02;7.087;13.066
2195;1.525;2.45;5.423;;11.299;3.03;7.098;13.082
2196;1.555;2.479;5.45;;11.339;3.06;7.13;13.118
2197;1.587;2.508;5.478;;11.38;3.091;7.164;13.156
2198;1.605;2.524;5.492;;11.408;3.109;7.183;13.179
2199;1.598;2.515;5.481;;11.41;3.102;7.178;13.177
2200;1.584;2.499;5.462;;11.405;3.087;7.165;13.168
2201;1.559;2.472;5.433;;11.389;3.062;7.142;13.148
2202;1.549;2.46;5.419;;11.387;3.052;7.133;13.142
2203;1.541;2.45;5.407;;11.388;3.043;7.127;13.139
2204;1.527;2.435;5.389;;11.382;3.029;7.114;13.129
2205;1.523;2.429;5.38;;11.385;3.024;7.111;13.128
2206;1.517;2.421;5.37;;11.387;3.018;7.106;13.125
2207;1.523;2.426;5.372;;11.4;3.023;7.114;13.135
2208;1.541;2.442;5.385;;11.426;3.041;7.133;13.156
2209;1.561;2.461;5.401;;11.453;3.061;7.154;13.178
2210;1.576;2.475;5.412;;11.475;3.076;7.17;13.196
2211;1.576;2.473;5.407;;11.481;3.075;7.171;13.198
2212;1.574;2.469;5.401;;11.485;3.072;7.17;13.197
2213;1.558;2.452;5.38;;11.475;3.056;7.155;13.182
2214;1.549;2.442;5.367;;11.471;3.047;7.146;13.175
2215;1.526;2.417;5.339;;11.453;3.023;7.124;13.152
2216;1.513;2.402;5.321;;11.445;3.009;7.111;13.139
2217;1.511;2.399;5.315;;11.449;3.007;7.109;13.138
2218;1.513;2.4;5.313;;11.455;3.009;7.112;13.14
2219;1.531;2.416;5.326;;11.477;3.026;7.129;13.157
2220;1.558;2.442;5.348;;11.508;3.052;7.156;13.183
2221;1.578;2.461;5.364;;11.532;3.071;7.176;13.202
2222;1.607;2.489;5.388;;11.565;3.1;7.204;13.23
2223;1.594;2.474;5.37;;11.555;3.085;7.19;13.215
2224;1.571;2.45;5.342;;11.535;3.061;7.167;13.19
2225;1.551;2.429;5.318;;11.517;3.04;7.146;13.168
2226;1.527;2.403;5.289;;11.496;3.015;7.121;13.141
2227;1.521;2.396;5.277;;11.492;3.007;7.113;13.132
2228;1.511;2.384;5.262;;11.483;2.996;7.101;13.119
2229;1.521;2.393;5.267;;11.495;3.004;7.11;13.125
2230;1.545;2.417;5.286;;11.521;3.027;7.132;13.146
2231;1.561;2.431;5.297;;11.538;3.042;7.146;13.158
2232;1.565;2.434;5.295;;11.542;3.044;7.148;13.156
2233;1.574;2.441;5.299;;11.552;3.052;7.154;13.161
2234;1.561;2.428;5.281;;11.54;3.038;7.139;13.143
2235;1.55;2.415;5.264;;11.529;3.025;7.125;13.126
2236;1.526;2.39;5.235;;11.505;3;7.098;13.096
2237;1.517;2.379;5.219;;11.495;2.989;7.085;13.08
2238;1.51;2.372;5.207;;11.488;2.982;7.076;13.067
2239;1.511;2.371;5.202;;11.488;2.981;7.074;13.061
2240;1.524;2.382;5.208;;11.499;2.992;7.083;13.066
2241;1.554;2.411;5.233;;11.528;3.021;7.11;13.089
2242;1.581;2.437;5.253;;11.553;3.047;7.134;13.109
2243;1.583;2.438;5.25;;11.554;3.048;7.134;13.104
2244;1.579;2.433;5.24;;11.546;3.043;7.126;13.091
2245;1.558;2.411;5.212;;11.522;3.021;7.102;13.062
2246;1.536;2.388;5.184;;11.496;2.998;7.076;13.032
2247;1.527;2.377;5.169;;11.481;2.988;7.064;13.014
2248;1.512;2.361;5.148;;11.462;2.972;7.046;12.991
2249;1.503;2.351;5.133;;11.449;2.961;7.033;12.972
2250;1.496;2.343;5.12;;11.438;2.953;7.023;12.956
2251;1.494;2.34;5.111;;11.428;2.95;7.016;12.945
2252;1.502;2.347;5.114;;11.429;2.957;7.02;12.945
2253;1.522;2.366;5.128;;11.442;2.975;7.035;12.956
2254;1.544;2.387;5.144;;11.457;2.996;7.053;12.97
2255;1.546;2.389;5.142;;11.453;2.997;7.052;12.965
2256;1.551;2.392;5.141;;11.452;3;7.053;12.962
2257;1.545;2.386;5.131;;11.441;2.994;7.043;12.95
2258;1.529;2.369;5.11;;11.419;2.976;7.023;12.927
2259;1.516;2.356;5.093;;11.401;2.963;7.008;12.908
2260;1.494;2.333;5.067;;11.374;2.94;6.982;12.88
2261;1.483;2.321;5.051;;11.358;2.927;6.967;12.863
2262;1.483;2.32;5.047;;11.353;2.926;6.964;12.857
2263;1.486;2.322;5.046;;11.352;2.929;6.964;12.855
2264;1.506;2.342;5.062;;11.368;2.948;6.981;12.87
2265;1.535;2.37;5.087;;11.392;2.976;7.007;12.894
2266;1.556;2.391;5.105;;11.41;2.997;7.025;12.911
2267;1.576;2.41;5.122;;11.426;3.016;7.042;12.926
2268;1.552;2.385;5.094;;11.398;2.991;7.015;12.898
2269;1.534;2.366;5.072;;11.376;2.972;6.994;12.875
2270;1.509;2.341;5.044;;11.347;2.947;6.966;12.846
2271;1.494;2.325;5.026;;11.329;2.931;6.949;12.827
2272;1.48;2.31;5.008;;11.311;2.916;6.932;12.808
2273;1.479;2.308;5.004;;11.306;2.914;6.928;12.803
2274;1.494;2.323;5.016;;11.318;2.929;6.941;12.815
2275;1.517;2.345;5.035;;11.338;2.952;6.961;12.833
2276;1.533;2.36;5.048;;11.351;2.967;6.975;12.846
2277;1.531;2.358;5.044;;11.346;2.965;6.971;12.841
2278;1.527;2.353;5.036;;11.338;2.96;6.964;12.833
2279;1.513;2.339;5.02;;11.322;2.946;6.948;12.815
2280;1.489;2.315;4.993;;11.295;2.922;6.921;12.788
2281;1.477;2.301;4.977;;11.279;2.909;6.906;12.772
2282;1.471;2.295;4.969;;11.271;2.903;6.898;12.763
2283;1.468;2.291;4.963;;11.265;2.9;6.893;12.757
2284;1.479;2.302;4.971;;11.273;2.91;6.901;12.764
2285;1.507;2.329;4.996;;11.297;2.937;6.927;12.789
2286;1.536;2.357;5.022;;11.323;2.966;6.953;12.814
2287;1.544;2.365;5.028;;11.33;2.975;6.96;12.82
2288;1.543;2.363;5.023;;11.325;2.973;6.956;12.815
2289;1.508;2.327;4.986;;11.287;2.938;6.919;12.777
2290;1.499;2.318;4.975;;11.276;2.929;6.908;12.766
2291;1.48;2.299;4.953;;11.255;2.91;6.887;12.744
2292;1.464;2.282;4.935;;11.236;2.893;6.869;12.725
2293;1.455;2.272;4.923;;11.224;2.884;6.857;12.713
2294;1.461;2.278;4.926;;11.227;2.89;6.861;12.716
2295;1.487;2.303;4.949;;11.25;2.915;6.884;12.738
2296;1.509;2.325;4.969;;11.27;2.937;6.905;12.758
2297;1.533;2.348;4.99;;11.291;2.961;6.926;12.779
2298;1.533;2.347;4.987;;11.289;2.961;6.924;12.776
2299;1.513;2.327;4.965;;11.266;2.941;6.902;12.753
2300;1.487;2.3;4.936;;11.237;2.914;6.873;12.724
2301;1.486;2.299;4.933;;11.234;2.913;6.871;12.72
2302;1.485;2.297;4.93;;11.231;2.912;6.868;12.717
2303;1.485;2.296;4.927;;11.227;2.911;6.865;12.713
2304;1.484;2.295;4.923;;11.224;2.911;6.862;12.71
2305;1.483;2.294;4.92;;11.221;2.91;6.859;12.707
2306;1.483;2.292;4.917;;11.218;2.909;6.857;12.703
2307;1.482;2.291;4.914;;11.215;2.908;6.854;12.7
2308;1.481;2.29;4.911;;11.211;2.907;6.851;12.696
2309;1.48;2.289;4.908;;11.208;2.906;6.848;12.693
2310;1.48;2.287;4.905;;11.205;2.905;6.845;12.69
2311;1.479;2.286;4.902;;11.202;2.905;6.843;12.686
2312;1.478;2.285;4.899;;11.199;2.904;6.84;12.683
2313;1.478;2.284;4.896;;11.196;2.903;6.837;12.68
2314;1.477;2.282;4.893;;11.192;2.902;6.834;12.676
2315;1.476;2.281;4.89;;11.189;2.901;6.832;12.673
2316;1.476;2.28;4.887;;11.186;2.9;6.829;12.67
2317;1.475;2.279;4.884;;11.183;2.9;6.826;12.667
2318;1.474;2.277;4.881;;11.18;2.899;6.823;12.663
2319;1.473;2.276;4.878;;11.177;2.898;6.821;12.66
2320;1.473;2.275;4.875;;11.174;2.897;6.818;12.657
2321;1.472;2.274;4.872;;11.171;2.896;6.815;12.654
2322;1.471;2.272;4.869;;11.168;2.896;6.813;12.651
2323;1.471;2.271;4.866;;11.164;2.895;6.81;12.647
2324;1.47;2.27;4.863;;11.161;2.894;6.807;12.644
2325;1.469;2.269;4.86;;11.158;2.893;6.804;12.641
2326;1.469;2.268;4.858;;11.155;2.892;6.802;12.638
2327;1.468;2.266;4.855;;11.152;2.892;6.799;12.635
2328;1.467;2.265;4.852;;11.149;2.891;6.796;12.632
2329;1.467;2.264;4.849;;11.146;2.89;6.794;12.628
2330;1.466;2.263;4.846;;11.143;2.889;6.791;12.625
2331;1.465;2.262;4.843;;11.14;2.888;6.788;12.622
2332;1.465;2.261;4.841;;11.137;2.888;6.786;12.619
2333;1.464;2.259;4.838;;11.134;2.887;6.783;12.616
2334;1.463;2.258;4.835;;11.131;2.886;6.781;12.613
2335;1.463;2.257;4.832;;11.128;2.885;6.778;12.61
2336;1.462;2.256;4.83;;11.125;2.885;6.775;12.607
2337;1.461;2.255;4.827;;11.122;2.884;6.773;12.604
2338;1.461;2.254;4.824;;11.119;2.883;6.77;12.601
2339;1.46;2.252;4.821;;11.116;2.882;6.767;12.598
2340;1.459;2.251;4.819;;11.113;2.882;6.765;12.595
2341;1.458;2.25;4.816;;11.11;2.881;6.762;12.592
2342;1.458;2.249;4.813;;11.107;2.88;6.76;12.589
2343;1.457;2.248;4.811;;11.104;2.879;6.757;12.586
2344;1.456;2.247;4.808;;11.101;2.879;6.754;12.583
2345;1.456;2.246;4.805;;11.098;2.878;6.752;12.58
2346;1.455;2.244;4.803;;11.096;2.877;6.749;12.577
2347;1.454;2.243;4.8;;11.093;2.876;6.747;12.574
2348;1.454;2.242;4.797;;11.09;2.876;6.744;12.571
2349;1.453;2.241;4.795;;11.087;2.875;6.742;12.569
2350;1.452;2.24;4.792;;11.084;2.874;6.739;12.566
2351;1.452;2.239;4.79;;11.081;2.873;6.736;12.563
2352;1.451;2.238;4.787;;11.078;2.873;6.734;12.56
2353;1.45;2.237;4.784;;11.075;2.872;6.731;12.557
2354;1.45;2.235;4.782;;11.072;2.871;6.729;12.554
2355;1.449;2.234;4.779;;11.069;2.87;6.726;12.551
2356;1.448;2.233;4.777;;11.066;2.87;6.724;12.548
2357;1.448;2.232;4.774;;11.063;2.869;6.721;12.546
2358;1.447;2.231;4.772;;11.061;2.868;6.719;12.543
2359;1.447;2.23;4.769;;11.058;2.868;6.716;12.54
2360;1.446;2.229;4.767;;11.055;2.867;6.714;12.537
2361;1.445;2.228;4.764;;11.052;2.866;6.711;12.534
2362;1.445;2.227;4.762;;11.049;2.865;6.709;12.532
2363;1.444;2.225;4.759;;11.046;2.865;6.706;12.529
2364;1.443;2.224;4.757;;11.043;2.864;6.704;12.526
2365;1.443;2.223;4.754;;11.04;2.863;6.701;12.523
2366;1.442;2.222;4.752;;11.038;2.862;6.699;12.52
2367;1.442;2.221;4.749;;11.035;2.862;6.696;12.518
2368;1.441;2.22;4.747;;11.032;2.861;6.694;12.515
2369;1.44;2.219;4.744;;11.029;2.86;6.691;12.512
2370;1.44;2.218;4.742;;11.026;2.86;6.689;12.509
2371;1.439;2.217;4.739;;11.023;2.859;6.686;12.507
2372;1.439;2.216;4.737;;11.02;2.858;6.684;12.504
2373;1.438;2.215;4.735;;11.018;2.858;6.681;12.501
2374;1.437;2.214;4.732;;11.015;2.857;6.679;12.499
2375;1.437;2.213;4.73;;11.012;2.856;6.676;12.496
2376;1.436;2.212;4.727;;11.009;2.855;6.674;12.493
2377;1.436;2.211;4.725;;11.006;2.855;6.671;12.49
2378;1.435;2.21;4.722;;11.003;2.854;6.669;12.488
2379;1.434;2.209;4.72;;11.001;2.853;6.667;12.485
2380;1.434;2.207;4.718;;10.998;2.853;6.664;12.482
2381;1.433;2.206;4.715;;10.995;2.852;6.662;12.48
2382;1.433;2.205;4.713;;10.992;2.851;6.659;12.477
2383;1.432;2.204;4.711;;10.989;2.851;6.657;12.474
2384;1.432;2.203;4.708;;10.987;2.85;6.654;12.472
2385;1.431;2.202;4.706;;10.984;2.849;6.652;12.469
2386;1.431;2.201;4.704;;10.981;2.849;6.65;12.466
2387;1.43;2.2;4.701;;10.978;2.848;6.647;12.464
2388;1.429;2.199;4.699;;10.975;2.847;6.645;12.461
2389;1.429;2.199;4.697;;10.973;2.846;6.642;12.458
2390;1.428;2.198;4.694;;10.97;2.846;6.64;12.456
2391;1.428;2.197;4.692;;10.967;2.845;6.638;12.453
2392;1.427;2.196;4.69;;10.964;2.844;6.635;12.45
2393;1.427;2.195;4.687;;10.962;2.844;6.633;12.448
2394;1.426;2.194;4.685;;10.959;2.843;6.63;12.445
2395;1.426;2.193;4.683;;10.956;2.842;6.628;12.442
2396;1.425;2.192;4.68;;10.953;2.842;6.626;12.44
2397;1.424;2.191;4.678;;10.951;2.841;6.623;12.437
2398;1.424;2.19;4.676;;10.948;2.84;6.621;12.435
2399;1.423;2.189;4.674;;10.945;2.84;6.619;12.432
2400;1.423;2.188;4.671;;10.942;2.839;6.616;12.429
2401;1.422;2.187;4.669;;10.94;2.838;6.614;12.427
2402;1.422;2.186;4.667;;10.937;2.838;6.611;12.424
2403;1.421;2.185;4.665;;10.934;2.837;6.609;12.422
2404;1.421;2.184;4.662;;10.931;2.836;6.607;12.419
2405;1.42;2.183;4.66;;10.929;2.836;6.604;12.417
2406;1.42;2.182;4.658;;10.926;2.835;6.602;12.414
2407;1.419;2.181;4.656;;10.923;2.834;6.6;12.411
2408;1.419;2.18;4.653;;10.92;2.834;6.597;12.409
2409;1.418;2.179;4.651;;10.918;2.833;6.595;12.406
2410;1.418;2.179;4.649;;10.915;2.832;6.593;12.404
2411;1.417;2.178;4.647;;10.912;2.832;6.59;12.401
2412;1.417;2.177;4.644;;10.909;2.831;6.588;12.399
2413;1.416;2.176;4.642;;10.907;2.83;6.586;12.396
2414;1.416;2.175;4.64;;10.904;2.83;6.583;12.394
2415;1.415;2.174;4.638;;10.901;2.829;6.581;12.391
2416;1.415;2.173;4.636;;10.899;2.828;6.579;12.389
2417;1.414;2.172;4.633;;10.896;2.828;6.576;12.386
2418;1.414;2.171;4.631;;10.893;2.827;6.574;12.383
2419;1.413;2.17;4.629;;10.891;2.826;6.572;12.381
2420;1.413;2.169;4.627;;10.888;2.826;6.57;12.378
2421;1.412;2.169;4.625;;10.885;2.825;6.567;12.376
2422;1.412;2.168;4.623;;10.883;2.824;6.565;12.373
2423;1.411;2.167;4.62;;10.88;2.824;6.563;12.371
2424;1.411;2.166;4.618;;10.877;2.823;6.56;12.368
2425;1.41;2.165;4.616;;10.875;2.822;6.558;12.366
2426;1.41;2.164;4.614;;10.872;2.822;6.556;12.364
2427;1.409;2.163;4.612;;10.869;2.821;6.554;12.361
2428;1.409;2.162;4.61;;10.866;2.821;6.551;12.359
2429;1.408;2.162;4.608;;10.864;2.82;6.549;12.356
2430;1.408;2.161;4.605;;10.861;2.819;6.547;12.354
2431;1.407;2.16;4.603;;10.859;2.819;6.545;12.351
2432;1.407;2.159;4.601;;10.856;2.818;6.542;12.349
2433;1.406;2.158;4.599;;10.853;2.817;6.54;12.346
2434;1.406;2.157;4.597;;10.851;2.817;6.538;12.344
2435;1.405;2.156;4.595;;10.848;2.816;6.536;12.341
2436;1.405;2.155;4.593;;10.845;2.815;6.533;12.339
2437;1.404;2.155;4.591;;10.843;2.815;6.531;12.336
2438;1.404;2.154;4.589;;10.84;2.814;6.529;12.334
2439;1.403;2.153;4.587;;10.837;2.813;6.527;12.332
2440;1.403;2.152;4.585;;10.835;2.813;6.524;12.329
2441;1.402;2.151;4.582;;10.832;2.812;6.522;12.327
2442;1.402;2.15;4.58;;10.829;2.811;6.52;12.324
2443;1.402;2.15;4.578;;10.827;2.811;6.518;12.322
2444;1.401;2.149;4.576;;10.824;2.81;6.515;12.319
2445;1.401;2.148;4.574;;10.822;2.81;6.513;12.317
2446;1.4;2.147;4.572;;10.819;2.809;6.511;12.315
2447;1.4;2.146;4.57;;10.816;2.808;6.509;12.312
2448;1.399;2.145;4.568;;10.814;2.808;6.507;12.31
2449;1.399;2.145;4.566;;10.811;2.807;6.504;12.307
2450;1.398;2.144;4.564;;10.809;2.806;6.502;12.305
2451;1.398;2.143;4.562;;10.806;2.806;6.5;12.303
2452;1.397;2.142;4.56;;10.803;2.805;6.498;12.3
2453;1.397;2.141;4.558;;10.801;2.805;6.496;12.298
2454;1.397;2.14;4.556;;10.798;2.804;6.493;12.295
2455;1.396;2.14;4.554;;10.796;2.803;6.491;12.293
2456;1.396;2.139;4.552;;10.793;2.803;6.489;12.291
2457;1.395;2.138;4.55;;10.79;2.802;6.487;12.288
2458;1.395;2.137;4.548;;10.788;2.801;6.485;12.286
2459;1.394;2.136;4.546;;10.785;2.801;6.483;12.284
2460;1.394;2.136;4.544;;10.783;2.8;6.48;12.281
2461;1.393;2.135;4.542;;10.78;2.799;6.478;12.279
2462;1.393;2.134;4.541;;10.777;2.799;6.476;12.277
2463;1.393;2.133;4.539;;10.775;2.798;6.474;12.274
2464;1.392;2.132;4.537;;10.772;2.798;6.472;12.272
2465;1.392;2.132;4.535;;10.77;2.797;6.47;12.27
2466;1.391;2.131;4.533;;10.767;2.796;6.467;12.267
2467;1.391;2.13;4.531;;10.765;2.796;6.465;12.265
2468;1.39;2.129;4.529;;10.762;2.795;6.463;12.263
2469;1.39;2.128;4.527;;10.759;2.795;6.461;12.26
2470;1.389;2.128;4.525;;10.757;2.794;6.459;12.258
2471;1.389;2.127;4.523;;10.754;2.793;6.457;12.256
2472;1.389;2.126;4.521;;10.752;2.793;6.454;12.253
2473;1.388;2.125;4.519;;10.749;2.792;6.452;12.251
2474;1.388;2.125;4.517;;10.747;2.791;6.45;12.249
2475;1.387;2.124;4.516;;10.744;2.791;6.448;12.246
2476;1.387;2.123;4.514;;10.742;2.79;6.446;12.244
2477;1.386;2.122;4.512;;10.739;2.79;6.444;12.242
2478;1.386;2.121;4.51;;10.737;2.789;6.442;12.239
2479;1.386;2.121;4.508;;10.734;2.788;6.44;12.237
2480;1.385;2.12;4.506;;10.732;2.788;6.438;12.235
2481;1.385;2.119;4.504;;10.729;2.787;6.435;12.233
2482;1.384;2.118;4.502;;10.727;2.786;6.433;12.23
2483;1.384;2.118;4.501;;10.724;2.786;6.431;12.228
2484;1.384;2.117;4.499;;10.721;2.785;6.429;12.226
2485;1.383;2.116;4.497;;10.719;2.785;6.427;12.223
2486;1.383;2.115;4.495;;10.716;2.784;6.425;12.221
2487;1.382;2.115;4.493;;10.714;2.783;6.423;12.219
2488;1.382;2.114;4.491;;10.711;2.783;6.421;12.217
2489;1.381;2.113;4.489;;10.709;2.782;6.419;12.214
2490;1.381;2.112;4.488;;10.706;2.782;6.417;12.212
2491;1.381;2.112;4.486;;10.704;2.781;6.414;12.21
2492;1.38;2.111;4.484;;10.701;2.78;6.412;12.208
2493;1.38;2.11;4.482;;10.699;2.78;6.41;12.205
2494;1.379;2.109;4.48;;10.696;2.779;6.408;12.203
2495;1.379;2.109;4.479;;10.694;2.779;6.406;12.201
2496;1.379;2.108;4.477;;10.692;2.778;6.404;12.199
2497;1.378;2.107;4.475;;10.689;2.777;6.402;12.196
2498;1.378;2.106;4.473;;10.687;2.777;6.4;12.194
2499;1.377;2.106;4.471;;10.684;2.776;6.398;12.192
2500;1.377;2.105;4.47;;10.683;2.776;6.397;12.191